Prompt,gif_path,Geometry Rating,Prompt Adherence Rating
fries,GIFs/output-196.gif,2,3
canned food,GIFs/output-197.gif,2,3
spam,GIFs/output-198.gif,1,1
convertible,GIFs/output-199.gif,1,2
burger,GIFs/output-200.gif,2,3
MRE,GIFs/output-201.gif,1,1
school bus,GIFs/output-202.gif,1,2
SUV,GIFs/output-203.gif,2,3
taxi,GIFs/output-204.gif,2,3
sedan,GIFs/output-205.gif,2,3
double decker bus,GIFs/output-206.gif,1,2
city bus,GIFs/output-207.gif,2,2
motorhome,GIFs/output-208.gif,1,2
van,GIFs/output-209.gif,2,3
RV,GIFs/output-210.gif,1,2
truck,GIFs/output-211.gif,2,2
cargo truck,GIFs/output-212.gif,2,3
ambulance,GIFs/output-213.gif,2,3
pickup truck,GIFs/output-214.gif,2,3
armored truck,GIFs/output-215.gif,2,3
bicycle,GIFs/output-216.gif,1,2
train,GIFs/output-217.gif,2,3
firetruck,GIFs/output-218.gif,1,2
subway,GIFs/output-219.gif,2,3
monorail,GIFs/output-220.gif,2,3
wheelchair,GIFs/output-221.gif,1,3
scooter,GIFs/output-222.gif,2,3
tanks,GIFs/output-223.gif,1,3
tractor,GIFs/output-224.gif,1,2
horse-drawn wagon,GIFs/output-225.gif,1,2
bulldozer,GIFs/output-226.gif,2,2
forklift,GIFs/output-227.gif,2,3
chariot,GIFs/output-228.gif,1,1
weaponized jeep,GIFs/output-229.gif,2,3
sidebar,GIFs/output-230.gif,1,1
carriage,GIFs/output-231.gif,1,2
plane,GIFs/output-232.gif,3,3
trailer,GIFs/output-233.gif,2,3
jet,GIFs/output-234.gif,1,1
caravan,GIFs/output-235.gif,2,2
sled,GIFs/output-236.gif,2,3
fighter jet,GIFs/output-237.gif,2,3
airplane,GIFs/output-238.gif,2,3
helicopter,GIFs/output-239.gif,2,3
drone,GIFs/output-240.gif,1,2
combat drone,GIFs/output-241.gif,2,2
hot air balloon,GIFs/output-242.gif,2,3
delivery drone,GIFs/output-243.gif,1,3
blimp,GIFs/output-244.gif,2,3
space shuttle,GIFs/output-245.gif,2,3
hoverboard,GIFs/output-246.gif,1,2
sci-fi car,GIFs/output-247.gif,2,2
military helicopter,GIFs/output-248.gif,1,2
floating bike,GIFs/output-249.gif,1,2
rocket,GIFs/output-250.gif,3,3
fishing boat,GIFs/output-251.gif,2,2
boat,GIFs/output-252.gif,2,3
tugboat,GIFs/output-253.gif,2,3
cargo ship,GIFs/output-254.gif,2,3
cruise ship,GIFs/output-255.gif,2,3
warship,GIFs/output-256.gif,2,3
military submarine,GIFs/output-257.gif,2,3
sailboat,GIFs/output-258.gif,2,3
speed boat,GIFs/output-259.gif,2,3
pirate ship,GIFs/output-260.gif,2,3
submarine,GIFs/output-261.gif,2,3
teleportation platform,GIFs/output-262.gif,3,2
humanoid robot,GIFs/output-263.gif,3,2
jetski,GIFs/output-264.gif,2,3
magic carpet,GIFs/output-265.gif,3,3
propeller,GIFs/output-266.gif,3,3
motor,GIFs/output-267.gif,3,3
flying broom,GIFs/output-268.gif,2,3
car frame,GIFs/output-269.gif,1,3
worker mech,GIFs/output-270.gif,1,1
car door,GIFs/output-271.gif,1,2
gear,GIFs/output-272.gif,3,3
handlebar,GIFs/output-273.gif,3,3
engine,GIFs/output-274.gif,1,2
wheel,GIFs/output-275.gif,2,3
human,GIFs/output-276.gif,2,3
battle mech,GIFs/output-277.gif,1,2
child,GIFs/output-278.gif,2,3
steering wheel,GIFs/output-279.gif,3,3
elf,GIFs/output-280.gif,2,3
man,GIFs/output-281.gif,2,3
goblin,GIFs/output-282.gif,2,3
factory robot arm,GIFs/output-283.gif,2,2
assembly bot,GIFs/output-284.gif,1,1
orc,GIFs/output-285.gif,1,3
cyborg,GIFs/output-286.gif,1,2
humanoid android,GIFs/output-287.gif,3,3
dwarf,GIFs/output-288.gif,2,3
alien,GIFs/output-289.gif,3,3
rat,GIFs/output-290.gif,2,3
whale,GIFs/output-291.gif,3,3
wolf,GIFs/output-292.gif,2,3
lion,GIFs/output-293.gif,1,2
dog,GIFs/output-294.gif,3,3
hamster,GIFs/output-295.gif,1,1
lizard,GIFs/output-296.gif,2,3
turtle,GIFs/output-297.gif,2,3
cat,GIFs/output-298.gif,1,3
monkey,GIFs/output-299.gif,1,2
fish,GIFs/output-300.gif,3,3
shark,GIFs/output-301.gif,2,3
snake,GIFs/output-302.gif,1,3
eel,GIFs/output-303.gif,1,1
eagle,GIFs/output-304.gif,1,2
seagull,GIFs/output-305.gif,2,3
crow,GIFs/output-306.gif,2,3
frog,GIFs/output-307.gif,2,3
spider,GIFs/output-308.gif,2,2
crab,GIFs/output-309.gif,1,3
ant,GIFs/output-310.gif,1,2
owl,GIFs/output-311.gif,2,3
butterfly,GIFs/output-312.gif,1,1
scorpion,GIFs/output-313.gif,2,3
beetle,GIFs/output-314.gif,1,1
bacteria,GIFs/output-315.gif,2,3
dinosaur,GIFs/output-316.gif,2,3
velociraptor,GIFs/output-317.gif,1,3
werewolf,GIFs/output-318.gif,1,3
t rex,GIFs/output-319.gif,2,3
demon,GIFs/output-320.gif,1,2
zombie,GIFs/output-321.gif,2,2
dragon,GIFs/output-322.gif,2,3
grffin,GIFs/output-323.gif,1,1
house,GIFs/output-324.gif,1,3
tentacled beast,GIFs/output-325.gif,1,1
virus,GIFs/output-326.gif,1,3
mansion,GIFs/output-327.gif,1,2
hut,GIFs/output-328.gif,1,1
tent,GIFs/output-329.gif,2,3
factory,GIFs/output-330.gif,1,1
office building,GIFs/output-331.gif,1,1
fortress,GIFs/output-332.gif,1,1
treehouse,GIFs/output-333.gif,1,2
watchtower,GIFs/output-334.gif,2,3
hospital,GIFs/output-335.gif,1,1
school,GIFs/output-336.gif,1,1
yurt,GIFs/output-337.gif,1,1
police station,GIFs/output-338.gif,1,1
castle,GIFs/output-339.gif,1,2
arena,GIFs/output-340.gif,1,1
circus tent,GIFs/output-341.gif,1,1
theater,GIFs/output-342.gif,1,1
gate,GIFs/output-343.gif,1,2
church,GIFs/output-344.gif,1,2
escalator,GIFs/output-345.gif,1,3
elevator,GIFs/output-346.gif,1,1
clock tower,GIFs/output-347.gif,2,3
trapdoors,GIFs/output-348.gif,3,3
windmill,GIFs/output-349.gif,1,2
drawbridge,GIFs/output-350.gif,2,3
car,GIFs/output-351.gif,2,3
girl,GIFs/output-352.gif,2,3
banana,GIFs/output-353.gif,3,3
poop,GIFs/output-354.gif,2,2
money,GIFs/output-355.gif,1,1
chicken,GIFs/output-356.gif,2,3
knife,GIFs/output-357.gif,2,2
skibidi toilet,GIFs/output-358.gif,1,2
ball,GIFs/output-359.gif,3,3
duck,GIFs/output-360.gif,2,3
donut,GIFs/output-361.gif,1,3
fly,GIFs/output-362.gif,1,1
cube,GIFs/output-363.gif,3,3
bunny,GIFs/output-364.gif,2,2
pistol,GIFs/output-365.gif,2,3
robot,GIFs/output-366.gif,2,3
boy,GIFs/output-367.gif,2,3
cheese,GIFs/output-368.gif,1,1
food,GIFs/output-369.gif,1,2
horse,GIFs/output-370.gif,2,3
unicorn,GIFs/output-371.gif,2,3
woman,GIFs/output-372.gif,2,3
magician,GIFs/output-373.gif,1,2
cheeseburger,GIFs/output-374.gif,2,3
ak47,GIFs/output-375.gif,2,3
rabbit,GIFs/output-376.gif,2,3
water,GIFs/output-377.gif,2,1
heart,GIFs/output-378.gif,3,3
tank,GIFs/output-379.gif,1,3
person,GIFs/output-380.gif,2,3
bird,GIFs/output-381.gif,2,3
block,GIFs/output-382.gif,2,1
cookie,GIFs/output-383.gif,3,3
hamburger,GIFs/output-384.gif,2,3
nuke,GIFs/output-385.gif,2,3
hotdog,GIFs/output-386.gif,3,3
tower,GIFs/output-387.gif,3,3
ak-47,GIFs/output-388.gif,2,3
box,GIFs/output-389.gif,3,3
anime girl,GIFs/output-390.gif,1,3
monster,GIFs/output-391.gif,1,3
gato,GIFs/output-392.gif,2,3
circle,GIFs/output-393.gif,2,3
bear,GIFs/output-394.gif,2,3
kitty,GIFs/output-395.gif,2,3
taco,GIFs/output-396.gif,1,3
glock,GIFs/output-397.gif,2,3
godzilla,GIFs/output-398.gif,2,3
ice cream,GIFs/output-399.gif,2,3
shotgun,GIFs/output-400.gif,2,3
minecraft,GIFs/output-401.gif,1,1
dad,GIFs/output-402.gif,1,1
bob,GIFs/output-403.gif,1,1
square,GIFs/output-404.gif,3,3
cow,GIFs/output-405.gif,2,3
usa,GIFs/output-406.gif,1,1
test,GIFs/output-407.gif,1,1
grass,GIFs/output-408.gif,1,3
fire,GIFs/output-409.gif,3,3
a car,GIFs/output-410.gif,2,3
lamborghini,GIFs/output-411.gif,1,3
wall,GIFs/output-412.gif,2,3
doll,GIFs/output-413.gif,2,3
big,GIFs/output-414.gif,1,1
rock,GIFs/output-415.gif,3,3
balloon,GIFs/output-416.gif,2,3
philippines,GIFs/output-417.gif,1,1
player,GIFs/output-418.gif,2,3
door,GIFs/output-419.gif,2,3
donut shop,GIFs/output-420.gif,2,3
mom,GIFs/output-421.gif,2,3
cats,GIFs/output-422.gif,2,3
america,GIFs/output-423.gif,1,1
capybara,GIFs/output-424.gif,2,3
feet,GIFs/output-425.gif,3,3
toy robot,GIFs/output-426.gif,2,2
guy,GIFs/output-427.gif,2,3
sigma boy,GIFs/output-428.gif,1,1
japan,GIFs/output-429.gif,1,1
puppy,GIFs/output-430.gif,3,3
sphere,GIFs/output-431.gif,3,3
mexico,GIFs/output-432.gif,1,3
flag,GIFs/output-433.gif,2,3
mouse,GIFs/output-434.gif,2,3
a cat,GIFs/output-435.gif,2,3
men,GIFs/output-436.gif,2,3
casa,GIFs/output-437.gif,1,1
npc,GIFs/output-438.gif,1,1
rainbow,GIFs/output-439.gif,2,3
brasil,GIFs/output-440.gif,1,1
flowers,GIFs/output-441.gif,1,2
star,GIFs/output-442.gif,3,3
rose,GIFs/output-443.gif,2,3
ghost,GIFs/output-444.gif,1,1
bike,GIFs/output-445.gif,1,3
minigun,GIFs/output-446.gif,2,3
kid,GIFs/output-447.gif,2,3
fox,GIFs/output-448.gif,2,3
stick,GIFs/output-449.gif,3,3
toy,GIFs/output-450.gif,1,1
"A cute cartoonish stylized Godzilla with exagerated features such as large eyes, a rounded body small arms and playful expression.",GIFs/output-451.gif,1,2
"A traditional multi-tiered pagoda with ornate curved roofs, intricate wooden details, and vibrant red and gold accents, standing tall as a centerpiece.",GIFs/output-452.gif,1,2
"A small traditional Japanese wooden house with a sloped roof, sliding doors, and simple yet elegant architectural details, embodying a rustic charm.",GIFs/output-453.gif,1,2
"A small tranquil pond with clear water, surrounded by smooth stones and lush greenery, creating a peaceful atmosphere.",GIFs/output-454.gif,1,1
"A sleek modern snowmobile with a streamlined design, featuring a glossy black and red body, skis in the front, and a continuous track at the rear.",GIFs/output-455.gif,2,3
"A tall, multi-tiered pagoda with a square base, curved roofs on each tier, and intricate wooden details, painted in red and black with snow-covered edges.",GIFs/output-456.gif,1,2
"A traditional Japanese stone lantern with a square base, slender column, and detailed carvings, adding a touch of cultural elegance to the landscape.",GIFs/output-457.gif,2,3
"A medium-sized Japanese maple tree with a twisting trunk, vibrant red leaves, and a graceful branching structure, providing shade and beauty.",GIFs/output-458.gif,1,2
"A traditional Japanese torii gate with tall red pillars and a black crossbar, symbolizing the entrance to a sacred space, featuring a simple yet elegant design.",GIFs/output-459.gif,2,3
"A traditional Japanese market stall with a wooden frame, a thatched roof, and shelves displaying an assortment of colorful goods and wares.",GIFs/output-460.gif,1,1
"A tall pine tree with a straight trunk, dense green foliage, and snow lightly dusting its branches, creating a wintry appearance.",GIFs/output-461.gif,1,2
"A small wooden bridge with snow-covered planks, arched sides, and simple railings, crossing over snowy paths.",GIFs/output-462.gif,2,3
"A small stone cat statue with intricate carvings, depicting a sitting cat with a peaceful expression, adding a whimsical touch to the garden.",GIFs/output-463.gif,1,3
"A tall bell tower adjacent to the church, made of stone with arched openings, housing a large bronze bell.",GIFs/output-464.gif,1,2
"A grand stone church with tall spires, arched stained glass windows, and a large wooden double door, covered lightly in snow.",GIFs/output-465.gif,1,1
"A cozy wooden cottage with a steep triangular roof covered in snow, timber-framed walls, a stone chimney, and small rectangular windows emitting warm yellow light.",GIFs/output-466.gif,1,2
A sleek red fox with a bushy tail and pointed ears.,GIFs/output-467.gif,2,3
"A rustic wooden chalet with a snow-covered roof, timber-framed walls, a small front porch, and glowing rectangular windows.",GIFs/output-468.gif,1,2
"A rustic wooden farmhouse with a pitched roof, a wide front porch with supporting wooden columns, wooden shutters, and a chimney on the roof.",GIFs/output-469.gif,1,2
A rectangular hay bale with a tightly packed straw texture and tied with two horizontal ropes.,GIFs/output-470.gif,1,2
"A medium-sized pyramid with a square base and smooth triangular sides leading to a sharp apex, made of limestone blocks with visible joints between the stones.",GIFs/output-471.gif,1,1
"A brown horse with a shiny coat, a long black mane, and a tail. It is standing upright with its legs slightly apart.",GIFs/output-472.gif,2,3
"A whimsical sculpture of a cheerful penguin wearing a red scarf and a green winter hat, standing on an icy base with a playful pose. The statue adds a fun and playful winter theme to the alpine village.",GIFs/output-473.gif,1,1
"A wooden horse stable with a slanted roof, multiple stalls, and a large open entrance.",GIFs/output-474.gif,1,3
"A tall desert palm tree with a straight, textured trunk and a crown of long, arching green fronds, providing shade in the desert.",GIFs/output-475.gif,2,3
"A long curved bar counter with a shiny red top, a smooth wooden base in light brown, and decorative trim in blue, designed to seat 8-10 customers.",GIFs/output-476.gif,1,2
"A ceramic canopic jar with a lid shaped like a jackal's head, featuring faded painted patterns and a smooth, rounded body.",GIFs/output-477.gif,3,2
"A sleek black metal microphone stand with a thin cylindrical pole, an adjustable height mechanism, and a circular base for stability.",GIFs/output-478.gif,2,2
"A large black rectangular speaker with a textured front grille, smooth sides, and a solid base, featuring visible sound output panels.",GIFs/output-479.gif,1,1
"A tall, tan-colored camel with a single hump, long legs, and a slender neck, standing upright with a calm expression.",GIFs/output-480.gif,3,3
"A modern spotlight with a cylindrical black metal body, a circular lens at the front, and a small adjustable stand for directional lighting.",GIFs/output-481.gif,2,3
"A tall, cartoony bar stool with a round, bright yellow cushioned seat, a green cylindrical support, and a blue circular base.",GIFs/output-482.gif,2,2
"A classical wooden bookshelf with intricate carved details on its edges, a rich dark brown finish, and multiple evenly spaced shelves for books and decorative items.",GIFs/output-483.gif,1,1
A metal torch holder with a flickering flame casting eerie shadows.,GIFs/output-484.gif,1,1
"A colorful glass cake display featuring exaggerated cartoony desserts like oversized cupcakes and bright, multi-layered cakes.",GIFs/output-485.gif,2,2
"A large triangular tent made of beige fabric, supported by wooden poles and ropes.",GIFs/output-486.gif,2,2
"A tall, crumbling stone wall with visible cracks and missing bricks, covered in moss and weathered by time.",GIFs/output-487.gif,1,1
"A stone archway with intricate carvings, partially collapsed, framing the entrance to another area.",GIFs/output-488.gif,1,1
"A tall banner with a red fabric flag, mounted on a wooden pole, waving in the wind.",GIFs/output-489.gif,3,3
"A tall wooden watchtower with a square base, a platform at the top, and a roof supported by wooden beams.",GIFs/output-490.gif,2,3
"a rectangular stone bench with a smooth top and two sturdy legs, featuring a simple and functional design.",GIFs/output-491.gif,2,3
"A stack of wooden crates with reinforced edges, arranged neatly in a rectangular pile.",GIFs/output-492.gif,1,1
"a traditional Roman stone building with large rectangular columns, intricate carvings, and a triangular pediment at the top.",GIFs/output-493.gif,1,1
"A large wooden catapult with a sturdy base, a long throwing arm, and a tension mechanism made of twisted ropes.",GIFs/output-494.gif,2,3
"a marble statue of a Roman soldier holding a shield and spear, standing on a circular base, with finely detailed armor.",GIFs/output-495.gif,1,2
rectangular wooden dining table with a smooth brown surface and four sturdy legs,GIFs/output-496.gif,3,3
"a wooden cart with two large wheels and a flatbed, loaded with sacks of grain and other goods, ideal for transporting items.",GIFs/output-497.gif,1,2
"a stone well with a circular base, a wooden roof, and a crank handle attached to a rope for drawing water.",GIFs/output-498.gif,1,2
"a circular stone fountain with a central sculpted statue, water flowing from multiple spouts, and a shallow pool at the base.",GIFs/output-499.gif,1,2
"a tall, narrow clay amphora with a pointed base and two handles, traditionally used for storing liquids like wine or oil.",GIFs/output-500.gif,2,3
"wooden market stall with canvas awning, wooden counter, and display shelves",GIFs/output-501.gif,2,3
wooden picnic table with brown planked surface and attached bench seats,GIFs/output-502.gif,3,3
"A grand Roman amphitheater with an elliptical structure, multiple arched tiers, intricate stonework, and large open spaces for events.",GIFs/output-503.gif,1,2
"a fancy, velvet textured, green couch",GIFs/output-504.gif,2,3
a small friendly decorative cartoony mini fireplace with some iron partition and some brick parts,GIFs/output-505.gif,1,1
floating platform with safety railings,GIFs/output-506.gif,1,1
"large oak tree with thick brown trunk, spreading branches, and dense green foliage",GIFs/output-507.gif,1,2
"low wooden fence with horizontal rails and vertical posts, weathered brown wood",GIFs/output-508.gif,1,2
humanoid smooth buff man robot with a blue and black texture and a big happy smile,GIFs/output-509.gif,2,3
big monster zombie with big mouth and arms with 3 eyes,GIFs/output-510.gif,1,2
a scythe with extreme gothic vibes,GIFs/output-511.gif,3,3
wooden dining chair with a straight back and cushioned seat,GIFs/output-512.gif,2,3
brown wooden log with rough bark texture and cylindrical shape,GIFs/output-513.gif,2,3
a highly detailed futuristic spaceship with large wings and glowing blue thrusters,GIFs/output-514.gif,1,3
burning campfire with orange and yellow flames rising from charred logs,GIFs/output-515.gif,3,3
thinking man statue,GIFs/output-516.gif,1,1
a dome-shaped camping tent with green and gray fabric panels and a zippered entrance,GIFs/output-517.gif,2,3
a anime purple dagger with high detail and a jagged blade,GIFs/output-518.gif,2,3
"cartoonish, cute, kid-friendly blue balloon",GIFs/output-519.gif,1,1
glass display case with wooden frame and multiple shelves for pastries,GIFs/output-520.gif,1,1
white painted wooden russian window frame,GIFs/output-521.gif,1,2
"a simple 3d model of a spring straw hat. made of light woven straw with a wide brim, perfect for sunny weather. decorated with a few delicate spring flowers and a soft pastel ribbon tied around the crown. minimalistic and elegant, with natural textures and warm, soft lighting. without scarf",GIFs/output-522.gif,1,1
wall shelf with stuff on it,GIFs/output-523.gif,1,1
friendly cartoon puppy with floppy ears,GIFs/output-524.gif,1,3
skibidi horror character with lemon head burger body and bloody arms with crazy shawarma legs,GIFs/output-525.gif,1,2
"small stone cottage with thatched roof, wooden door, and small windows",GIFs/output-526.gif,1,3
"decorative flowers with lots of flowers growing in a bunch, stylized, simple mesh and textures, clean and connected",GIFs/output-527.gif,1,1
white ceramic coffee cup with handle and matching saucer,GIFs/output-528.gif,2,3
tall pine tree with dark green needles and brown trunk,GIFs/output-529.gif,1,2
"smooth pastel cat ear beanie: a sleek, matte-finish beanie in pastel pink with two smooth, subtly curved cat ears. minimal detail ensures clean lines.",GIFs/output-530.gif,2,2
modern electrical panel,GIFs/output-531.gif,2,2
basic alien monster,GIFs/output-532.gif,2,3
traditional bamboo fence with vertical bamboo poles tied together with rope,GIFs/output-533.gif,3,3
a gas station,GIFs/output-534.gif,1,2
neat stack of colorful magazines with glossy covers,GIFs/output-535.gif,1,1
muscular man wearing leather apron and holding hammer,GIFs/output-536.gif,1,1
"hyper-photorealistic, random multicolored flower",GIFs/output-537.gif,2,3
galaxy sword with flame blade,GIFs/output-538.gif,3,3
purple gravity staff with crystals,GIFs/output-539.gif,3,3
a surreal creature that is a perfect hybrid between a cat and a shrimp,GIFs/output-540.gif,1,1
chrome metal towel rack with horizontal bars,GIFs/output-541.gif,1,1
a futuristic tv based on sci fi and anime,GIFs/output-542.gif,1,1
a black world war 2 tactical roblox gas mask,GIFs/output-543.gif,1,2
a lowpoly shotgun,GIFs/output-544.gif,2,3
large wooden water wheel with spoked design and dark brown finish,GIFs/output-545.gif,1,2
rectangular plastic cooler with white body and blue lid,GIFs/output-546.gif,2,3
person wearing brown apron over white shirt with dark hair in ponytail,GIFs/output-547.gif,2,3
wooden post with multiple directional signs pointing to different locations,GIFs/output-548.gif,3,3
